stars,comment
4.0 out of 5 stars,"









  
  
    
  I absolutely loved the concept of the Nintendo Switch and decided to get one due to its popular demand. It’s pretty awesome and best to get it at the normal price of $299.99 because it really isn’t worth $300.00+ and it really refreshes the gaming atmosphere. However, handheld mode is so enormous that it’s a little uncomfortable. I was on the fence about buying this or the Nintendo Switch Lite, because I rarely have anyone else around to play some really cool multiplayer games like Mario Kart 8 Deluxe or Super Smash Bros. Plus, the Switch Lite doesn’t come with controller/joy con problems and is smaller, more comfortable, and accessible. One other thing that stands out on the Lite is it has a smaller screen but games look a bit sharper on it. That said, some of the free games are pretty addictive! I think it was totally worth the $300.00, but it does cost $20 to buy Nintendo Online to play any Nintendo game’s online player. I also wouldn’t recommend buying a Pro controller because the joy con controller is pretty comfortable, so far. If you’re someone who loves hanging around friends and family, get the regular Switch. If you’re a solo and lone wolf type of badass, get the Switch Lite!

  
"
5.0 out of 5 stars,"









  
  
    
  Love my new Nintendo Switch Animal Crossing version. I have been waiting for over a year for this. I originally ordered the regular version but it never came so I went to reorder and found that this was finally available. So glad I finally got it. After a year I would have taken anything...my luck - this one was available. So easy to set up. So easy to use. So very happy with the Amazon customer service and the Nintendo Switch. Don’t buy from scalpers who buy cheap and jack up the price. Just wait patiently. Worth the wait.

  
"
5.0 out of 5 stars,"









  
  
    
  Spent a lot of time looking to find a switch that wasn’t overpriced, and after doing lots of refreshing and looking at stock informer sites, I was finally able to purchase one. Is in perfect condition, brand new, and delivered on time! Definitely worth the wait of getting it at standard pricing, now to spend countless hours playing ACNH!

  
"
5.0 out of 5 stars,"









  
  
    
  Wonderful product. There are many minor hiccups that I already knew of before purchasing this product e.g. joycon drift, shakey joycons, hot while docked, online connectivity, dock scratch, etc. However, most of these risks i knew well ahead of time and so I was not bothered by them as most already have a diy fix for them as discovered by the Switch community. Great product, do some research before purchasing one, Nintendo methodology in developing their products can be a little strange at times but the good outweighs the bad with this product.

  
"
5.0 out of 5 stars,"









  
  
    
  This is the most beautiful thing I’ve ever held in my hands as a die hard AC fan.

  
"
1.0 out of 5 stars,"









  
  
    
  After owning the original Wii for years and enjoying it with 0 problems I decided on getting the Switch, even though I mainly play my games on PC now a days, I thought it would be a great console for my wife and I to come together every now and then to play. I was lucky to score one when Nintendo finally got it back in stock after months of no stock because of the pandemic. The first day I got it the right (red) joy con kept disconnecting every 5-10 minutes. I was literally 5 feet away from the console with line of sight. After going through the troubleshooting steps of disconnecting joy cons and updating the console OS and controller firmware, it still had the same problem. The left (blue) joy con worked flawlessly. I searched online and found hundreds if not thousands of posts about people experiencing disconnecting joy cons and various work-arounds. Some even claimed that by having your foot propped up in front of the line of sight would cause all sorts of controller issues including lag and disconnects. So I did my long hours of testing, purchasing new official joy cons, and 3rd parties and am discouraged by my findings.Ultimately I found that the built-in bluetooth radio in the switch is just not powerful enough. Considering the amount of posts regarding controller pairing and disconnects issues, I would say the problem has been known for a long time. And instead of Nintendo recalling or replacing their poorly designed consoles they blame the environment or user error. They state things like ""make sure your console is away from wireless devices of any kind"". Seriously? Everyone has 20 wireless devices in their house from cell phones, routers, modems, smart TV's, wireless speakers, smart hubs, Alexa devices, the list goes on. Nintendo even states to keep the Switch away from fish tanks. Really? Soon they'll be saying to keep the switch away from air and light.I contacted Nintendo within the first week I got the Switch after getting fed up with dying because of constant controller lag and disconnects. Tier 1 support is a joke. They just want you to send it in which customer pays for shipping, and I may get my console back in 30 days. So after back and forth discussion with Tier 1 support I finally found that there is an escalation line which they forwarded me to which seems to be a line of seniors or assistant managers. Again they wanted me to send in the console. I called BS and explained that the console was only a week old. We finally agreed that I would temporarily pay for a replacement right joy con, and only after they received my defective right joy con that I would get reimbursed. New right joy con came, had the same problems albeit it was less noticeable, less disconnects. I sent my old one to them and it took them 30 days to refund my money which was $50 because they had to inspect the controller for any damage or mods. Seriously? I eventually got my money back but what a pain.Fast forward about a month and lag and disconnects are still happening. I purchased a brand new official joy con from Amazon and even though it hasn't outright disconnected it has shown lag issues again, sitting 5 feet away from the console and with direct line of sight. I even started unplugging wireless devices like my wireless speaker, just to see if anything would increase the controllers range and reliability and nothing helped.At the end of the day the Nintendo Switch is riddled with controller issues and I am not even getting into the whole ""drifting"" problem that people are suing Nintendo over. Now a days it seems that companies just release untested unreliable electronics, even the all and might Nintendo company, and don't take responsibility for it. A player needs reliable controllers to play a consoles content AKA joy con controllers for the Nintendo Switch, like a player needs a reliable mouse and keyboard for playing PC games. And for the price tag of an official Nintendo Switch joy con set at around $70 I expect them to be flawless, and their from from it. And this console isn't even new. It's been out for several years and Nintendo has had plenty of time to fix their issues, and they have chosen to blame us, the consumers instead of taking ownership of the problem.I plan to exchange the Switch for another using the Amazon exchange policy. Luckily, my purchase qualified for the holiday return policy so I have until February 1st to return it. If the new one acts up the same way I will be returning it and will be calling my credit card company to reimburse the 4 games I purchased from the Switch store since the Nintendo store has a no refund policy, which is a complete joke and such a policy should be discouraged.

  
"
3.0 out of 5 stars,"









  
  
    
  On paper this is such a slick device, and combined with great Nintendo titles this was something I was excited for. BUT this system just isn't there yet. Right now I'm dealing with input lag that goes beyond controller or title specific issues. Right from the get go, setting it up (while in portable mode) felt odd. The touch screen and the attached joy-cons felt a bit slow. The input lag was the same speed as my PS4 with my TVs game mode OFF. Not a huge deal for many who will play most casual games, but annoying enough for me that titles like Cuphead and Enter the Gungeon are hindered. I do wonder if the newer portable only version doesn't have these issues, but I'm mainly interested in this as a home console.And it's online component? They still haven't caught up with Xbox Live from the 360 generation. Not a huge problem with Discord around, but still.Lot's of pluses for this system for sure, but this is mainly a message to people to try out the system first and decide for yourself if the input lag is bad enough to ruin your experience. A lot of people are very satisfied and don't even notice. I can see this not being a problem in games like Pokemon, or Mario + Rabbids Kingdom Battle. I've been playing ""The Touryst"", charming, relaxing, and a nice change of pace from what I usually play.

  
"
5.0 out of 5 stars,"









  
  
    
  The switch is already of my favorite consoles I’ve ever owned. As an adult-I’ve been surprised by how much I play it in handheld mode. It’s nice to be able to sneak in some gaming time here and there at work when there is some downtime. And I actually find myself playing it in handheld mode pretty often at home when I’m watching football on the weekends. I’m glad I waited until this model with the improved battery life came out. Sometimes, I don’t have to put it on the dock to charge for 5 or 6 days, assuming I’m playing 30 minutes here and there. I highly recommend this system.

  
"
1.0 out of 5 stars,"









  
  
    
  Almost everything about this console is perfect but the joy cons are flawed and Nintendo continues to ship the defective line as standard issue in switch and switch lite

  
"
3.0 out of 5 stars,"









  
  
    
  The game system we received is the newer one with better battery life. However, we've been disappointed with the joys cons. Both right joy cons in the included one and another set we bought would disconnect. If you read online there are all kinds of issues with the joy cons ever since they made the system. There are fewer problems since they updated them, however, the joy cons we received with this system are dated 2017, before they updated them. So, new game system, old joy cons. Seriously disappointed in this. Nintendo is in the process of setting up a warranty repair, but I shouldn't have to do this for a brand new system. The individual set we bought is going back and we purchased new ones in a local store that should theoretically be newer. To initiate the repair Nintendo asked about a hundred questions and 2 hours later the repair is accepted. Not a good setup, in my opinion.

  
"
